"Weekly average temperature","Weekly total precipitation"
27.9080793108259,78.7100006341934
20.1005057198661,0
20.1289219447545,0
27.9349870954241,78.7100006341934
20.1289219447545,0
27.9349870954241,78.7100006341934
27.9349870954241,78.7100006341934
20.1289219447545,0
20.1289219447545,0
27.9349870954241,78.7100006341934
20.1289219447545,0
27.9349870954241,78.7100006341934
20.1289219447545,0
27.9349870954241,78.7100006341934
27.9080793108259,78.7100006341934
20.1005057198661,0
27.9080793108259,78.7100006341934
20.1005057198661,0
27.9261893136161,72.439999461174
21.2204528808594,1.41999997198582
27.9261893136161,72.439999461174
21.2204528808594,1.41999997198582
27.9261893136161,72.439999461174
21.2204528808594,1.41999997198582
27.9261893136161,72.439999461174
21.2204528808594,1.41999997198582
27.9261893136161,72.439999461174
21.2204528808594,1.41999997198582
27.9261893136161,72.439999461174
27.9080793108259,78.7100006341934
20.1005057198661,0
20.1005057198661,0
27.9080793108259,78.7100006341934
27.9080793108259,78.7100006341934
20.1005057198661,0
28.0146990094866,89.5800015926361
28.0146990094866,89.5800015926361
28.0146990094866,89.5800015926361
20.1349949428014,0
20.1108511788505,0
21.1970764160156,1.69999994337559
27.8949741908482,78.7100006341934
20.1108511788505,0
27.8894592285156,78.7100006341934
20.11416015625,0
27.8894592285156,78.7100006341934
20.11416015625,0
27.8894592285156,78.7100006341934
20.1108511788505,0
27.8949741908482,78.7100006341934
28.5105747767857,18.850000269711
20.1606340680804,0
20.1606340680804,0
28.5105747767857,18.850000269711
27.9219560895647,87.1900012493134
20.1606340680804,0
27.9219560895647,87.1900012493134
20.1606340680804,0
20.1606340680804,0
27.9219560895647,87.1900012493134
27.9456813267299,87.1900012493134
20.1750645228795,0
21.2004987444197,1.68000000342727
27.9219560895647,87.1900012493134
20.1606340680804,0
27.9219560895647,87.1900012493134
21.2004987444197,1.68000000342727
27.9219560895647,87.1900012493134
21.2004987444197,1.68000000342727
27.9219560895647,87.1900012493134
20.1606340680804,0
27.9219560895647,87.1900012493134
20.1606340680804,0
20.148086983817,0
27.832892717634,92.0800013542175
27.832892717634,92.0800013542175
26.7046142578125,0.200000002980232
27.832892717634,92.0800013542175
26.7046142578125,0.200000002980232
27.6555114746094,93.1400012969971
20.148086983817,0
27.6555114746094,93.1400012969971
20.148086983817,0
20.148086983817,0
20.148086983817,0
27.832892717634,92.0800013542175
20.148086983817,0
27.832892717634,92.0800013542175
20.1720563616072,0
27.8583095005581,92.0800013542175
28.4729901994978,18.850000269711
20.4092171805246,0
27.8378191266741,92.0800013542175
20.4092171805246,0
20.4092171805246,0
27.8378191266741,92.0800013542175
20.4092171805246,0
27.8378191266741,92.0800013542175
22.4329249790737,26.8200002238154
27.8281406947545,92.0800013542175
20.4062874930246,0
27.8281406947545,92.0800013542175
20.4062874930246,0
27.8281406947545,92.0800013542175
20.4062874930246,0
21.1958687918527,1.68000000342727
27.8281406947545,92.0800013542175
20.4368312290737,0
27.860973249163,92.0800013542175
27.860973249163,92.0800013542175
20.4368312290737,0
20.4368312290737,0
27.860973249163,92.0800013542175
27.860973249163,92.0800013542175
20.4368312290737,0
27.860973249163,92.0800013542175
20.4368312290737,0
27.860973249163,92.0800013542175
20.4368312290737,0
27.860973249163,92.0800013542175
20.4368312290737,0
27.860973249163,92.0800013542175
20.4368312290737,0
20.4291364397322,0
27.8462812151228,92.0800013542175
20.4368312290737,0
28.4942653111049,18.850000269711
21.9653738839286,0
21.9653738839286,0
20.4185294015067,0
27.8496643066406,92.0800013542175
20.4185294015067,0
27.8496643066406,92.0800013542175
20.4185294015067,0
27.8496643066406,92.0800013542175
27.8496643066406,92.0800013542175
20.4185294015067,0
27.8496643066406,92.0800013542175
27.8496643066406,92.0800013542175
20.4185294015067,0
20.210831124442,0
27.8709089006697,92.0800013542175
20.210831124442,0
27.8709089006697,92.0800013542175
27.8709089006697,92.0800013542175
26.4976222446987,2.80000002682209
27.8496643066406,92.0800013542175
27.8496643066406,92.0800013542175
26.4976222446987,2.80000002682209
20.4185294015067,0
27.8496643066406,92.0800013542175
20.4185294015067,0
20.3516261509487,0
27.6341840471541,80.0400006771088
27.6341840471541,80.0400006771088
20.3516261509487,0
27.652725655692,80.0400006771088
20.3695748465402,0
20.380997140067,0
27.6573774065291,80.0400006771088
27.6380118233817,93.1400012969971
27.6380118233817,93.1400012969971
27.6380118233817,93.1400012969971
27.6380118233817,93.1400012969971
27.6380118233817,93.1400012969971
20.3881338936942,0
27.6377676827567,93.1400012969971
20.3813633510045,0
28.4273141043527,18.850000269711
20.3668064662389,0
28.4524911063058,18.850000269711
20.3813633510045,0
28.4524911063058,18.850000269711
28.4524911063058,18.850000269711
20.3813633510045,0
28.4524911063058,18.850000269711
27.6380118233817,93.1400012969971
20.3881338936942,0
27.6380118233817,93.1400012969971
20.3881338936942,0
27.6380118233817,93.1400012969971
20.3881338936942,0
27.6112871442522,93.1400012969971
20.3271902901786,0
27.6112871442522,93.1400012969971
27.6079084123884,93.1400012969971
20.3180219377791,0
20.3180219377791,0
27.6079084123884,93.1400012969971
20.3180219377791,0
27.6079084123884,93.1400012969971
27.6079084123884,93.1400012969971
20.3180219377791,0
20.3180219377791,0
27.6079084123884,93.1400012969971
28.4151942661831,18.850000269711
20.2428440638951,0
20.309716796875,0
27.5929853166853,95.2600018978119
27.5929853166853,95.2600018978119
20.309716796875,0
20.3254856654576,0
28.4032400948661,19.0699998810887
20.2156267438616,0
27.6028555733817,95.2600018978119
27.5880414690291,95.2600018978119
20.3170976911272,0
21.1954023088728,2.83999992348254
21.1954023088728,2.83999992348254
20.3315368652344,0
27.6028555733817,95.2600018978119
20.3079380580357,0
28.3754908970424,19.0699998810887
27.3433079310826,98.6800019741058
