"","Lag Period","contrast","Variable","Level","N","Risk in Intervention Arm","Risk in Control Arm","Risk Ratio (95% CI)","Risk Difference (95% CI)"
"28","2 Week Lag","Sanitation","Heavy Rain","No Heavy Rain","2,948","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.73 (0.48, 1.12)","-0.01 (-0.03, 0.00)"
"29","2 Week Lag","Sanitation","Total Weekly Precipitation","Above Median","3,004","0.03 (0.02, 0.05)","0.07 (0.06, 0.09)","0.48 (0.31, 0.74)","-0.04 (-0.05, -0.02)"
"30","2 Week Lag","Sanitation","Total Weekly Precipitation","Below Median","2,192","0.03 (0.02, 0.05)","0.03 (0.02, 0.05)","0.91 (0.51, 1.65)","0.00 (-0.02, 0.02)"
"31","2 Week Lag","Sanitation","Heavy Rain","Heavy Rain","1,533","0.04 (0.02, 0.06)","0.06 (0.04, 0.08)","0.66 (0.35, 1.25)","-0.02 (-0.05, 0.01)"
"32","2 Week Lag","Sanitation","Heavy Rain","No Heavy Rain","3,663","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.56 (0.38, 0.83)","-0.02 (-0.04, -0.01)"
"33","2 Week Lag","Handwashing","Rainy Season","Rainy season","2,655","0.04 (0.02, 0.05)","0.08 (0.06, 0.09)","0.46 (0.30, 0.70)","-0.04 (-0.06, -0.02)"
"34","2 Week Lag","Handwashing","Rainy Season","Not rainy season","2,575","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.90 (0.61, 1.34)","0.00 (-0.02, 0.01)"
"35","2 Week Lag","Handwashing","Heavy Rain","Heavy Rain","2,234","0.04 (0.02, 0.05)","0.07 (0.06, 0.09)","0.51 (0.17, 1.51)","-0.04 (-0.08, 0.01)"
"36","2 Week Lag","Handwashing","Heavy Rain","No Heavy Rain","2,996","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.76 (0.51, 1.14)","-0.01 (-0.03, 0.00)"
"37","2 Week Lag","Handwashing","Total Weekly Precipitation","Above Median","3,006","0.04 (0.03, 0.05)","0.07 (0.06, 0.09)","0.53 (0.36, 0.77)","-0.03 (-0.05, -0.02)"
"38","2 Week Lag","Handwashing","Total Weekly Precipitation","Below Median","2,224","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.82 (0.51, 1.33)","-0.01 (-0.02, 0.01)"
"39","2 Week Lag","Handwashing","Heavy Rain","Heavy Rain","1,542","0.04 (0.02, 0.06)","0.06 (0.04, 0.08)","0.57 (0.30, 1.08)","-0.03 (-0.06, 0.01)"
"40","2 Week Lag","Handwashing","Heavy Rain","No Heavy Rain","3,688","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.60 (0.43, 0.84)","-0.02 (-0.04, -0.01)"
