"","Lag Period","contrast","Variable","Level","N","Risk in Intervention Arm","Risk in Control Arm","Risk Ratio (95% CI)","Risk Difference (95% CI)"
"16","3 Week Lag","Water","Minimum Weekly Temperature","Below Median","2,080","0.05 (0.03, 0.06)","0.05 (0.03, 0.06)","1.19 (0.75, 1.87)","0.01 (-0.01, 0.03)"
"17","3 Week Lag","Water","Maximum Weekly Temperature","Above Median","3,029","0.06 (0.04, 0.07)","0.07 (0.06, 0.09)","0.78 (0.56, 1.10)","-0.02 (-0.04, 0.01)"
"18","3 Week Lag","Water","Maximum Weekly Temperature","Below Median","2,217","0.04 (0.03, 0.06)","0.04 (0.03, 0.06)","1.16 (0.71, 1.90)","0.01 (-0.01, 0.03)"
"19","3 Week Lag","Sanitation","Average Weekly Temperature","Above Median","3,085","0.03 (0.02, 0.04)","0.07 (0.06, 0.08)","0.44 (0.28, 0.67)","-0.04 (-0.06, -0.02)"
"20","3 Week Lag","Sanitation","Average Weekly Temperature","Below Median","2,101","0.04 (0.02, 0.05)","0.04 (0.02, 0.05)","0.98 (0.61, 1.59)","0.00 (-0.02, 0.02)"
"21","3 Week Lag","Sanitation","Minimum Weekly Temperature","Above Median","3,083","0.03 (0.02, 0.04)","0.07 (0.06, 0.08)","0.44 (0.29, 0.68)","-0.04 (-0.06, -0.02)"
"22","3 Week Lag","Sanitation","Minimum Weekly Temperature","Below Median","2,103","0.04 (0.02, 0.05)","0.04 (0.02, 0.05)","0.97 (0.60, 1.55)","0.00 (-0.02, 0.02)"
"23","3 Week Lag","Sanitation","Maximum Weekly Temperature","Above Median","2,956","0.03 (0.02, 0.05)","0.07 (0.06, 0.09)","0.46 (0.32, 0.68)","-0.04 (-0.06, -0.02)"
"24","3 Week Lag","Sanitation","Maximum Weekly Temperature","Below Median","2,230","0.03 (0.02, 0.05)","0.03 (0.02, 0.05)","0.94 (0.56, 1.58)","0.00 (-0.02, 0.02)"
"25","3 Week Lag","Handwashing","Average Weekly Temperature","Above Median","3,097","0.04 (0.03, 0.05)","0.07 (0.06, 0.08)","0.55 (0.36, 0.83)","-0.03 (-0.05, -0.01)"
"26","3 Week Lag","Handwashing","Average Weekly Temperature","Below Median","2,123","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.79 (0.53, 1.16)","-0.01 (-0.02, 0.00)"
"27","3 Week Lag","Handwashing","Minimum Weekly Temperature","Above Median","3,098","0.04 (0.02, 0.05)","0.07 (0.06, 0.08)","0.52 (0.34, 0.78)","-0.03 (-0.05, -0.01)"
"28","3 Week Lag","Handwashing","Minimum Weekly Temperature","Below Median","2,122","0.03 (0.02, 0.05)","0.03 (0.02, 0.05)","0.88 (0.61, 1.27)","0.00 (-0.02, 0.01)"
"29","3 Week Lag","Handwashing","Maximum Weekly Temperature","Above Median","2,963","0.04 (0.02, 0.05)","0.07 (0.06, 0.09)","0.52 (0.33, 0.80)","-0.03 (-0.06, -0.01)"
"30","3 Week Lag","Handwashing","Maximum Weekly Temperature","Below Median","2,257","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.88 (0.61, 1.25)","0.00 (-0.02, 0.01)"
