"","Lag Period","contrast","Variable","Level","N","Risk in Intervention Arm","Risk in Control Arm","Risk Ratio (95% CI)","Risk Difference (95% CI)"
"1","3 Week Lag","Pooled Intervention","Average Weekly Temperature","Above Median","7,455","0.04 (0.03, 0.05)","0.07 (0.06, 0.08)","0.57 (0.36, 0.90)","-0.03 (-0.06, 0.00)"
"2","3 Week Lag","Pooled Intervention","Average Weekly Temperature","Below Median","4,947","0.04 (0.03, 0.04)","0.04 (0.03, 0.04)","0.96 (0.69, 1.35)","0.00 (-0.01, 0.01)"
"3","3 Week Lag","Pooled Intervention","Minimum Weekly Temperature","Above Median","7,387","0.04 (0.03, 0.04)","0.07 (0.06, 0.08)","0.56 (0.36, 0.87)","-0.03 (-0.06, 0.00)"
"4","3 Week Lag","Pooled Intervention","Minimum Weekly Temperature","Below Median","5,015","0.04 (0.03, 0.04)","0.04 (0.03, 0.04)","1.01 (0.73, 1.38)","0.00 (-0.01, 0.01)"
"5","3 Week Lag","Pooled Intervention","Maximum Weekly Temperature","Above Median","7,118","0.04 (0.03, 0.05)","0.07 (0.06, 0.09)","0.56 (0.45, 0.72)","-0.03 (-0.05, -0.02)"
"6","3 Week Lag","Pooled Intervention","Maximum Weekly Temperature","Below Median","5,284","0.04 (0.03, 0.04)","0.04 (0.03, 0.04)","0.97 (0.71, 1.33)","0.00 (-0.01, 0.01)"
"7","3 Week Lag","Combined WSH","Average Weekly Temperature","Above Median","4,316","0.04 (0.03, 0.04)","0.07 (0.06, 0.08)","0.53 (0.41, 0.68)","-0.03 (-0.05, -0.02)"
"8","3 Week Lag","Combined WSH","Average Weekly Temperature","Below Median","2,802","0.04 (0.03, 0.05)","0.04 (0.03, 0.05)","0.95 (0.60, 1.51)","0.00 (-0.02, 0.02)"
"9","3 Week Lag","Combined WSH","Minimum Weekly Temperature","Above Median","4,283","0.04 (0.03, 0.04)","0.07 (0.06, 0.08)","0.52 (0.40, 0.67)","-0.03 (-0.05, -0.02)"
"10","3 Week Lag","Combined WSH","Minimum Weekly Temperature","Below Median","2,835","0.04 (0.03, 0.05)","0.04 (0.03, 0.05)","0.99 (0.65, 1.53)","0.00 (-0.02, 0.02)"
"11","3 Week Lag","Combined WSH","Maximum Weekly Temperature","Above Median","4,119","0.04 (0.03, 0.05)","0.07 (0.06, 0.09)","0.52 (0.40, 0.68)","-0.03 (-0.05, -0.02)"
"12","3 Week Lag","Combined WSH","Maximum Weekly Temperature","Below Median","2,999","0.04 (0.03, 0.04)","0.04 (0.03, 0.04)","0.97 (0.65, 1.44)","0.00 (-0.02, 0.01)"
"13","3 Week Lag","Water","Average Weekly Temperature","Above Median","3,173","0.05 (0.04, 0.07)","0.07 (0.06, 0.08)","0.79 (0.57, 1.08)","-0.01 (-0.03, 0.00)"
"14","3 Week Lag","Water","Average Weekly Temperature","Below Median","2,073","0.04 (0.03, 0.06)","0.04 (0.03, 0.06)","1.18 (0.70, 1.97)","0.01 (-0.01, 0.03)"
"15","3 Week Lag","Water","Minimum Weekly Temperature","Above Median","3,166","0.05 (0.04, 0.07)","0.07 (0.06, 0.08)","0.77 (0.56, 1.08)","-0.02 (-0.04, 0.00)"
