"","Lag Period","contrast","Variable","Level","N","Risk in Intervention Arm","Risk in Control Arm","Risk Ratio (95% CI)","Risk Difference (95% CI)"
"1","3 Week Lag","Pooled Intervention","Rainy Season","Rainy season","6,350","0.04 (0.03, 0.04)","0.08 (0.06, 0.09)","0.50 (0.40, 0.62)","-0.04 (-0.05, -0.02)"
"2","3 Week Lag","Pooled Intervention","Rainy Season","Not rainy season","6,090","0.04 (0.03, 0.04)","0.04 (0.03, 0.04)","1.06 (0.75, 1.52)","0.00 (-0.01, 0.02)"
"3","3 Week Lag","Pooled Intervention","Heavy Rain","Heavy Rain","5,523","0.04 (0.03, 0.05)","0.07 (0.06, 0.09)","0.54 (0.40, 0.74)","-0.03 (-0.05, -0.01)"
"4","3 Week Lag","Pooled Intervention","Heavy Rain","No Heavy Rain","6,917","0.04 (0.03, 0.04)","0.04 (0.03, 0.04)","0.86 (0.59, 1.24)","-0.01 (-0.02, 0.01)"
"5","3 Week Lag","Pooled Intervention","Total Weekly Precipitation","Above Median","7,812","0.04 (0.03, 0.04)","0.07 (0.05, 0.08)","0.58 (0.30, 1.12)","-0.03 (-0.07, 0.02)"
"6","3 Week Lag","Pooled Intervention","Total Weekly Precipitation","Below Median","4,628","0.04 (0.03, 0.04)","0.04 (0.03, 0.04)","0.98 (0.65, 1.50)","0.00 (-0.02, 0.02)"
"7","3 Week Lag","Pooled Intervention","Heavy Rain","Heavy Rain","3,186","0.04 (0.03, 0.05)","0.07 (0.05, 0.09)","0.60 (0.32, 1.12)","-0.03 (-0.06, 0.01)"
"8","3 Week Lag","Pooled Intervention","Heavy Rain","No Heavy Rain","9,254","0.04 (0.03, 0.04)","0.04 (0.03, 0.04)","0.72 (0.56, 0.93)","-0.01 (-0.03, 0.00)"
"9","3 Week Lag","Combined WSH","Rainy Season","Rainy season","3,675","0.03 (0.03, 0.04)","0.08 (0.06, 0.09)","0.46 (0.35, 0.60)","-0.04 (-0.06, -0.03)"
"10","3 Week Lag","Combined WSH","Rainy Season","Not rainy season","3,481","0.04 (0.03, 0.05)","0.04 (0.03, 0.05)","1.04 (0.70, 1.55)","0.00 (-0.01, 0.02)"
"11","3 Week Lag","Combined WSH","Heavy Rain","Heavy Rain","3,189","0.03 (0.02, 0.04)","0.07 (0.06, 0.09)","0.47 (0.34, 0.65)","-0.04 (-0.06, -0.02)"
"12","3 Week Lag","Combined WSH","Heavy Rain","No Heavy Rain","3,967","0.04 (0.03, 0.05)","0.04 (0.03, 0.05)","0.87 (0.55, 1.36)","-0.01 (-0.02, 0.01)"
"13","3 Week Lag","Combined WSH","Total Weekly Precipitation","Above Median","4,532","0.04 (0.03, 0.04)","0.07 (0.05, 0.08)","0.53 (0.41, 0.67)","-0.03 (-0.05, -0.02)"
"14","3 Week Lag","Combined WSH","Total Weekly Precipitation","Below Median","2,624","0.04 (0.03, 0.05)","0.04 (0.03, 0.05)","1.02 (0.54, 1.93)","0.00 (-0.02, 0.03)"
"15","3 Week Lag","Combined WSH","Heavy Rain","Heavy Rain","1,858","0.03 (0.02, 0.04)","0.07 (0.05, 0.09)","0.52 (0.28, 0.96)","-0.03 (-0.07, 0.00)"
"16","3 Week Lag","Combined WSH","Heavy Rain","No Heavy Rain","5,298","0.04 (0.03, 0.05)","0.04 (0.03, 0.05)","0.70 (0.51, 0.96)","-0.02 (-0.03, 0.00)"
"17","3 Week Lag","Water","Rainy Season","Rainy season","2,687","0.05 (0.04, 0.07)","0.08 (0.06, 0.09)","0.70 (0.51, 0.98)","-0.02 (-0.04, 0.00)"
"18","3 Week Lag","Water","Rainy Season","Not rainy season","2,569","0.05 (0.03, 0.06)","0.05 (0.03, 0.06)","1.29 (0.50, 3.38)","0.01 (-0.03, 0.05)"
"19","3 Week Lag","Water","Heavy Rain","Heavy Rain","2,360","0.05 (0.04, 0.07)","0.07 (0.06, 0.09)","0.77 (0.51, 1.17)","-0.02 (-0.04, 0.01)"
"20","3 Week Lag","Water","Heavy Rain","No Heavy Rain","2,896","0.05 (0.04, 0.06)","0.05 (0.04, 0.06)","1.11 (0.67, 1.83)","0.00 (-0.02, 0.03)"
"21","3 Week Lag","Water","Total Weekly Precipitation","Above Median","3,323","0.05 (0.04, 0.07)","0.07 (0.05, 0.08)","0.82 (0.60, 1.12)","-0.01 (-0.03, 0.01)"
"22","3 Week Lag","Water","Total Weekly Precipitation","Below Median","1,933","0.04 (0.03, 0.06)","0.04 (0.03, 0.06)","1.18 (0.49, 2.85)","0.01 (-0.03, 0.05)"
"23","3 Week Lag","Water","Heavy Rain","Heavy Rain","1,401","0.05 (0.03, 0.07)","0.07 (0.05, 0.09)","0.78 (0.39, 1.55)","-0.01 (-0.05, 0.02)"
"24","3 Week Lag","Water","Heavy Rain","No Heavy Rain","3,855","0.05 (0.04, 0.06)","0.05 (0.04, 0.06)","0.95 (0.68, 1.33)","0.00 (-0.02, 0.01)"
"25","3 Week Lag","Sanitation","Rainy Season","Rainy season","2,649","0.03 (0.02, 0.04)","0.08 (0.06, 0.09)","0.39 (0.24, 0.63)","-0.05 (-0.07, -0.03)"
"26","3 Week Lag","Sanitation","Rainy Season","Not rainy season","2,547","0.04 (0.02, 0.05)","0.04 (0.02, 0.05)","1.00 (0.60, 1.68)","0.00 (-0.02, 0.02)"
"27","3 Week Lag","Sanitation","Heavy Rain","Heavy Rain","2,243","0.04 (0.02, 0.06)","0.07 (0.06, 0.09)","0.57 (0.36, 0.93)","-0.03 (-0.06, -0.01)"
"28","3 Week Lag","Sanitation","Heavy Rain","No Heavy Rain","2,953","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.69 (0.45, 1.06)","-0.01 (-0.03, 0.00)"
"29","3 Week Lag","Sanitation","Total Weekly Precipitation","Above Median","3,273","0.04 (0.02, 0.05)","0.07 (0.05, 0.08)","0.56 (0.35, 0.89)","-0.03 (-0.06, 0.00)"
"30","3 Week Lag","Sanitation","Total Weekly Precipitation","Below Median","1,923","0.03 (0.01, 0.04)","0.03 (0.01, 0.04)","0.73 (0.39, 1.36)","-0.01 (-0.03, 0.01)"
"31","3 Week Lag","Sanitation","Heavy Rain","Heavy Rain","1,301","0.04 (0.02, 0.06)","0.07 (0.05, 0.09)","0.67 (0.40, 1.15)","-0.02 (-0.05, 0.01)"
"32","3 Week Lag","Sanitation","Heavy Rain","No Heavy Rain","3,895","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.58 (0.39, 0.85)","-0.02 (-0.04, -0.01)"
"33","3 Week Lag","Handwashing","Rainy Season","Rainy season","2,655","0.04 (0.02, 0.05)","0.08 (0.06, 0.09)","0.46 (0.30, 0.70)","-0.04 (-0.06, -0.02)"
"34","3 Week Lag","Handwashing","Rainy Season","Not rainy season","2,575","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.90 (0.61, 1.34)","0.00 (-0.02, 0.01)"
"35","3 Week Lag","Handwashing","Heavy Rain","Heavy Rain","2,303","0.03 (0.02, 0.05)","0.07 (0.06, 0.09)","0.48 (0.32, 0.73)","-0.04 (-0.06, -0.02)"
"36","3 Week Lag","Handwashing","Heavy Rain","No Heavy Rain","2,927","0.04 (0.02, 0.05)","0.04 (0.02, 0.05)","0.87 (0.59, 1.29)","-0.01 (-0.02, 0.01)"
