"","variable","tr","value","fit","lwrS","uprS"
"9318...2011","temp_min_1weeklag","Any WASH Intervention",25.3751770019531,3.37358599465989,2.72674762765135,4.16729353153764
"9318...2012","temp_min_1weeklag","Any WASH Intervention",25.3751770019531,3.37358599465989,2.73236459483405,4.15885288147564
"9036...2013","temp_min_1weeklag","Any WASH Intervention",25.3952575683594,3.37657376332978,2.73027445875391,4.16930474093252
"9036...2014","temp_min_1weeklag","Any WASH Intervention",25.3952575683594,3.37657376332978,2.73588790439454,4.1608760523845
"8448...2015","temp_min_1weeklag","Any WASH Intervention",25.4115234375,3.37900491843645,2.73313874243305,4.17095053839294
"8448...2016","temp_min_1weeklag","Any WASH Intervention",25.4115234375,3.37900491843645,2.73874936158768,4.16253147126214
"11128...2017","temp_min_1weeklag","Any WASH Intervention",25.4281555175781,3.38150096284027,2.73607433267044,4.17264890118791
"11128...2018","temp_min_1weeklag","Any WASH Intervention",25.4281555175781,3.38150096284027,2.74168208637905,4.16423960829383
"1720...2019","temp_min_1weeklag","Any WASH Intervention",25.4370971679688,3.38284711649188,2.73765537607043,4.17356848085311
"1720...2020","temp_min_1weeklag","Any WASH Intervention",25.4370971679688,3.38284711649188,2.74326159976996,4.16516441570903
"1520...2021","temp_min_1weeklag","Any WASH Intervention",25.4473205566406,3.38438987004066,2.73946545864304,4.17462548346198
"1520...2022","temp_min_1weeklag","Any WASH Intervention",25.4473205566406,3.38438987004066,2.74506994214598,4.16622737201591
"1538...2023","temp_min_1weeklag","Any WASH Intervention",25.4487854003906,3.38461123901186,2.73972502303375,4.1747774256846
"1538...2024","temp_min_1weeklag","Any WASH Intervention",25.4487854003906,3.38461123901186,2.74532925800002,4.1663801652453
"8961...2025","temp_min_1weeklag","Any WASH Intervention",25.4509521484375,3.38493882663054,2.74010905793178,4.17500239963969
"8961...2026","temp_min_1weeklag","Any WASH Intervention",25.4509521484375,3.38493882663054,2.74571292564299,4.16660639703002
"1547...2027","temp_min_1weeklag","Any WASH Intervention",25.4587036132813,3.38611218640673,2.74148386400842,4.17580944807869
"1547...2028","temp_min_1weeklag","Any WASH Intervention",25.4587036132813,3.38611218640673,2.74708642153128,4.16741793598158
"1525...2029","temp_min_1weeklag","Any WASH Intervention",25.4588256835938,3.38613068234792,2.74150552615861,4.17582218519107
"1525...2030","temp_min_1weeklag","Any WASH Intervention",25.4588256835938,3.38613068234792,2.74710806309446,4.16743074369369
"1476...2031","temp_min_1weeklag","Any WASH Intervention",25.4616027832031,3.38655161440603,2.7419984375339,4.17611218674604
"1476...2032","temp_min_1weeklag","Any WASH Intervention",25.4616027832031,3.38655161440603,2.74760050650123,4.16772235040876
"11361...2033","temp_min_1weeklag","Any WASH Intervention",25.4628845214844,3.38674598727272,2.74222599800759,4.17624618376412
"11361...2034","temp_min_1weeklag","Any WASH Intervention",25.4628845214844,3.38674598727272,2.74782785123935,4.16785708763352
"235...2035","temp_min_1weeklag","Any WASH Intervention",25.4697509765625,3.38778830862711,2.7434457469746,4.17696564192267
"235...2036","temp_min_1weeklag","Any WASH Intervention",25.4697509765625,3.38778830862711,2.7490464471805,4.16858050431501
"216...2037","temp_min_1weeklag","Any WASH Intervention",25.4710327148438,3.38798306906232,2.7436735591833,4.17710024297896
"216...2038","temp_min_1weeklag","Any WASH Intervention",25.4710327148438,3.38798306906232,2.74927404466386,4.16871584300911
"214...2039","temp_min_1weeklag","Any WASH Intervention",25.4778381347656,3.38901817538031,2.74488379387509,4.17781650606798
"214...2040","temp_min_1weeklag","Any WASH Intervention",25.4778381347656,3.38901817538031,2.75048314195137,4.16943601578966
"226...2041","temp_min_1weeklag","Any WASH Intervention",25.4793640136719,3.38925049786243,2.74515529913706,4.17797747218379
"226...2042","temp_min_1weeklag","Any WASH Intervention",25.4793640136719,3.38925049786243,2.75075439281279,4.16959785693882
"11836...2043","temp_min_1weeklag","Any WASH Intervention",25.4805236816406,3.38942712072978,2.74536168033863,4.17809989694373
"11836...2044","temp_min_1weeklag","Any WASH Intervention",25.4805236816406,3.38942712072978,2.75096058082318,4.169720946336
"1485...2045","temp_min_1weeklag","Any WASH Intervention",25.4827209472656,3.38976191143152,2.74575280641537,4.17833207415354
"1485...2046","temp_min_1weeklag","Any WASH Intervention",25.4827209472656,3.38976191143152,2.75135134121713,4.16995438193773
"10570...2047","temp_min_1weeklag","Any WASH Intervention",25.4827514648438,3.38976656256371,2.74575823953255,4.17833530081503
"10570...2048","temp_min_1weeklag","Any WASH Intervention",25.4827514648438,3.38976656256371,2.75135676925874,4.16995762606838
"229...2049","temp_min_1weeklag","Any WASH Intervention",25.4892211914063,3.39075338280257,2.74691056073777,4.17902057800317
"229...2050","temp_min_1weeklag","Any WASH Intervention",25.4892211914063,3.39075338280257,2.75250801652787,4.17064660144872
"4721...2051","temp_min_1weeklag","Any WASH Intervention",25.4916931152344,3.39113083266306,2.74735109682228,4.17928305017751
"4721...2052","temp_min_1weeklag","Any WASH Intervention",25.4916931152344,3.39113083266306,2.75294814338787,4.1709104838323
"9625...2053","temp_min_1weeklag","Any WASH Intervention",25.50283203125,3.3928344994406,2.74933801980966,4.1804702281962
"9625...2054","temp_min_1weeklag","Any WASH Intervention",25.50283203125,3.3928344994406,2.75493322995314,4.17210399730014
"9675...2055","temp_min_1weeklag","Any WASH Intervention",25.5112243652344,3.39412112448269,2.75083694275851,4.18136948422817
"9675...2056","temp_min_1weeklag","Any WASH Intervention",25.5112243652344,3.39412112448269,2.75643077761,4.17300800570079
"259...2057","temp_min_1weeklag","Any WASH Intervention",25.5145812988281,3.39463650606186,2.75143697278951,4.18173034683989
"259...2058","temp_min_1weeklag","Any WASH Intervention",25.5145812988281,3.39463650606186,2.7570302595453,4.17337076418701
"9681...2059","temp_min_1weeklag","Any WASH Intervention",25.5178771972656,3.39514292375042,2.75202634841735,4.18208529462127
"9681...2060","temp_min_1weeklag","Any WASH Intervention",25.5178771972656,3.39514292375042,2.75761909817401,4.17372757053734
"1376...2061","temp_min_1weeklag","Any WASH Intervention",25.5214782714844,3.39569669259444,2.75267058420279,4.1824738410251
"1376...2062","temp_min_1weeklag","Any WASH Intervention",25.5214782714844,3.39569669259444,2.75826274852541,4.17411814437692
"9782...2063","temp_min_1weeklag","Any WASH Intervention",25.5217834472656,3.39574364426599,2.75272519426961,4.18250680390755
