"","date","avg_temp"
"1",2013-08-31,27.8583628946299
"2",2013-09-01,27.390144458855
"3",2013-09-02,27.5951438350257
"4",2013-09-03,26.7321923289014
"5",2013-09-04,27.7099756475503
"6",2013-09-05,28.12457354332
"7",2013-09-06,28.3131522097422
"8",2013-09-07,27.8222905204123
"9",2013-09-08,27.6239125537572
"10",2013-09-09,27.0401427259957
"11",2013-09-10,26.3087134713255
"12",2013-09-11,27.6464462328408
"13",2013-09-12,29.2852983059568
"14",2013-09-13,30.3119793142806
"15",2013-09-14,28.4302907275853
"16",2013-09-15,28.5838763601021
"17",2013-09-16,28.0913653352659
"18",2013-09-17,28.125763440057
"19",2013-09-18,26.943947796265
"20",2013-09-19,27.8461598874643
"21",2013-09-20,28.0431971601132
"22",2013-09-21,28.6233919257998
"23",2013-09-22,28.9679269110743
"24",2013-09-23,29.4043075224579
"25",2013-09-24,29.6482224136497
"26",2013-09-25,28.305021576024
"27",2013-09-26,28.3765948852154
"28",2013-09-27,28.3021898913459
"29",2013-09-28,27.6157784928283
"30",2013-09-29,24.5545687991362
"31",2013-09-30,25.3924777346831
"32",2013-10-01,25.9052029486335
"33",2013-10-02,27.8363919327312
"34",2013-10-03,26.7492920306955
"35",2013-10-04,25.98636434176
"36",2013-10-05,25.7714213759365
"37",2013-10-06,25.1694532328224
"38",2013-10-07,26.0443268496156
"39",2013-10-08,25.5318094632603
"40",2013-10-09,25.8462798590916
"41",2013-10-10,26.3415123780067
"42",2013-10-11,25.1557479713994
"43",2013-10-12,26.5143362532655
"44",2013-10-13,26.9795658532753
"45",2013-10-14,26.8335877427543
"46",2013-10-15,25.9902590971264
"47",2013-10-16,26.0722257114735
"48",2013-10-17,26.4279608789679
"49",2013-10-18,26.7742592796542
"50",2013-10-19,26.4327234887926
"51",2013-10-20,25.8233231120306
"52",2013-10-21,25.3937871024436
"53",2013-10-22,24.888777290609
"54",2013-10-23,24.2205633602684
"55",2013-10-24,25.062225110749
"56",2013-10-25,23.077279518681
"57",2013-10-26,21.6563443060553
"58",2013-10-27,23.136505512033
"59",2013-10-28,23.3221974273586
"60",2013-10-29,23.8060504901297
"61",2013-10-30,23.1230535176275
"62",2013-10-31,23.0967808672307
"63",2013-11-01,22.9376031051299
"64",2013-11-02,23.0775667497413
"65",2013-11-03,23.2952265886855
"66",2013-11-04,22.3459720262594
"67",2013-11-05,22.0851423871254
"68",2013-11-06,21.4213401048341
"69",2013-11-07,21.7193020889812
"70",2013-11-08,22.0058920490253
"71",2013-11-09,22.0571171228066
"72",2013-11-10,21.7577846202189
"73",2013-11-11,21.3287974264344
"74",2013-11-12,20.7495699428234
"75",2013-11-13,20.7052218368001
"76",2013-11-14,21.2880678002391
"77",2013-11-15,21.5277778312611
"78",2013-11-16,21.1200615627156
"79",2013-11-17,20.9171041687205
"80",2013-11-18,20.9728418199798
"81",2013-11-19,20.9541824870306
"82",2013-11-20,20.9318146425843
"83",2013-11-21,20.5306198938412
"84",2013-11-22,21.2849046773339
"85",2013-11-23,21.3537132287252
"86",2013-11-24,21.8350958309715
"87",2013-11-25,21.6967064312956
"88",2013-11-26,21.1936566951524
"89",2013-11-27,21.3917541503906
"90",2013-11-28,21.6234540584336
"91",2013-11-29,22.3978022722792
"92",2013-11-30,22.0879114193119
"93",2013-12-01,22.3130798532384
"94",2013-12-02,22.6799175274485
"95",2013-12-03,21.763319854255
"96",2013-12-04,21.8725968129252
"97",2013-12-05,21.824930685627
"98",2013-12-06,21.8099370432953
"99",2013-12-07,21.6512633892264
"100",2013-12-08,21.3889176329604
"101",2013-12-09,20.8079466233118
"102",2013-12-10,21.1086159883614
"103",2013-12-11,21.0796873267141
"104",2013-12-12,19.5403158001344
"105",2013-12-13,19.2372780207204
"106",2013-12-14,18.5411153991892
"107",2013-12-15,18.5113458771811
"108",2013-12-16,17.9147698724308
"109",2013-12-17,17.6988166303665
"110",2013-12-18,19.0112670898438
"111",2013-12-19,18.9717779791318
"112",2013-12-20,18.7087613174968
"113",2013-12-21,18.994014800159
"114",2013-12-22,19.1313506598729
"115",2013-12-23,20.3932053623139
"116",2013-12-24,19.9256217691801
"117",2013-12-25,17.8998550366904
"118",2013-12-26,17.1743194868888
"119",2013-12-27,17.9158259346659
"120",2013-12-28,17.8848173412239
"121",2013-12-29,18.2239013479335
"122",2013-12-30,17.8570701045569
"123",2013-12-31,18.0276262445781
"124",2014-01-01,18.9640494650471
"125",2014-01-02,19.3954916198923
"126",2014-01-03,17.9203414580048
"127",2014-01-04,17.8961817985078
"128",2014-01-05,18.9472721713575
"129",2014-01-06,17.994986106319
"130",2014-01-07,17.893035484338
"131",2014-01-08,16.6850236092457
"132",2014-01-09,17.6960178315076
"133",2014-01-10,19.0839757107034
"134",2014-01-11,20.3507933800153
"135",2014-01-12,19.9024452763025
"136",2014-01-13,19.753996281669
"137",2014-01-14,19.6793224057941
"138",2014-01-15,19.7572989575119
"139",2014-01-16,19.8628284731122
"140",2014-01-17,20.3911815944155
"141",2014-01-18,21.1714549934075
"142",2014-01-19,21.7746989638272
"143",2014-01-20,20.1506941834459
"144",2014-01-21,19.6787207955442
"145",2014-01-22,20.322772120527
"146",2014-01-23,21.3509282157248
"147",2014-01-24,21.17146392726
"148",2014-01-25,20.9132618997376
"149",2014-01-26,19.923668778958
"150",2014-01-27,19.2575600031423
"151",2014-01-28,19.3749834415665
"152",2014-01-29,20.2840503969404
"153",2014-01-30,20.9801927055094
"154",2014-01-31,21.4560104803332
"155",2014-02-01,21.0296893098753
"156",2014-02-02,20.480268258176
